"nta_id","nta_name","state_fips","county_fips","county_name","borough_name","borough_id","puma_id","puma_name","neighborhood","complaint_n","ebird_checklists","ebird_pigeon_total","local_moran_i","local_moran_p","local_moran_sig"
"BK61","Crown Heights North","36","047","Kings","Brooklyn","3","4006","Brooklyn Community District 8--Crown Heights North & Prospect Heights","Brooklyn Community District 8--Crown Heights North & Prospect Heights",73,0,0,0.461184343576024,0.023032781228437,"Significant"
"BK63","Crown Heights South","36","047","Kings","Brooklyn","3","4011","Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate","Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate",59,0,0,-0.127596487045556,0.690172703646263,"Not significant"
"BK64","Prospect Heights","36","047","Kings","Brooklyn","3","4006","Brooklyn Community District 8--Crown Heights North & Prospect Heights","Brooklyn Community District 8--Crown Heights North & Prospect Heights",73,0,0,-0.152377758030904,0.524163688287614,"Not significant"
"BK68","Fort Greene","36","047","Kings","Brooklyn","3","4004","Brooklyn Community District 2--Brooklyn Heights & Fort Greene","Brooklyn Community District 2--Brooklyn Heights & Fort Greene",99,0,0,-0.163090459740658,0.308381371248933,"Not significant"
"BK69","Clinton Hill","36","047","Kings","Brooklyn","3","4004","Brooklyn Community District 2--Brooklyn Heights & Fort Greene","Brooklyn Community District 2--Brooklyn Heights & Fort Greene",99,0,0,-0.0908947223217546,0.534262716073605,"Not significant"
"BK72","Williamsburg","36","047","Kings","Brooklyn","3","4001","Brooklyn Community District 1--Greenpoint & Williamsburg","Brooklyn Community District 1--Greenpoint & Williamsburg",158,0,0,0.0876564477530856,0.199372083082823,"Not significant"
"BK73","North Side-South Side","36","047","Kings","Brooklyn","3","4001","Brooklyn Community District 1--Greenpoint & Williamsburg","Brooklyn Community District 1--Greenpoint & Williamsburg",158,0,0,0.164699134812394,0.0315837876697512,"Significant"
"BK75","Bedford","36","047","Kings","Brooklyn","3","4003","Brooklyn Community District 3--Bedford-Stuyvesant","Brooklyn Community District 3--Bedford-Stuyvesant",35,0,0,0.26836432267217,0.460516076829105,"Not significant"
"BK76","Greenpoint","36","047","Kings","Brooklyn","3","4001","Brooklyn Community District 1--Greenpoint & Williamsburg","Brooklyn Community District 1--Greenpoint & Williamsburg",158,0,0,0.0237673901917083,0.826519304806113,"Not significant"
"BK77","Bushwick North","36","047","Kings","Brooklyn","3","4002","Brooklyn Community District 4--Bushwick","Brooklyn Community District 4--Bushwick",117,0,0,-0.329987322991712,0.000246806847186676,"Significant"
"BK78","Bushwick South","36","047","Kings","Brooklyn","3","4002","Brooklyn Community District 4--Bushwick","Brooklyn Community District 4--Bushwick",117,0,0,-0.0138602203323777,0.856794360057515,"Not significant"
"BK79","Ocean Hill","36","047","Kings","Brooklyn","3","4007","Brooklyn Community District 16--Brownsville & Ocean Hill","Brooklyn Community District 16--Brownsville & Ocean Hill",38,0,0,0.58599790022415,0.0750734767659737,"Not significant"
"BK81","Brownsville","36","047","Kings","Brooklyn","3","4007","Brooklyn Community District 16--Brownsville & Ocean Hill","Brooklyn Community District 16--Brownsville & Ocean Hill",38,0,0,0.704737965617946,0.0722529730712074,"Not significant"
"BK82","East New York","36","047","Kings","Brooklyn","3","4008","Brooklyn Community District 5--East New York & Starrett City","Brooklyn Community District 5--East New York & Starrett City",76,0,0,0.337677094102899,0.0812703399132301,"Not significant"
"BK83","Cypress Hills-City Line","36","047","Kings","Brooklyn","3","4008","Brooklyn Community District 5--East New York & Starrett City","Brooklyn Community District 5--East New York & Starrett City",76,0,0,-0.308296121365063,0.0937579928976989,"Not significant"
"BK85","East New York (Pennsylvania Ave)","36","047","Kings","Brooklyn","3","4007","Brooklyn Community District 16--Brownsville & Ocean Hill","Brooklyn Community District 16--Brownsville & Ocean Hill",38,0,0,0.645810992866547,0.141504962073616,"Not significant"
"BK88","Borough Park","36","047","Kings","Brooklyn","3","4014","Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway","Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",116,0,0,-0.0512485466674065,0.488115968126715,"Not significant"
"BK90","East Williamsburg","36","047","Kings","Brooklyn","3","4001","Brooklyn Community District 1--Greenpoint & Williamsburg","Brooklyn Community District 1--Greenpoint & Williamsburg",158,0,0,0.00514426679540339,0.921787807234633,"Not significant"
