"nta_id","nta_name","state_fips","county_fips","county_name","borough_name","borough_id","puma_id","puma_name","neighborhood","complaint_n","ebird_checklists","ebird_pigeon_total"
"BX31","Allerton-Pelham Gardens","36","005","Bronx","Bronx","2","3704","Bronx Community District 11--Pelham Parkway, Morris Park & Laconia","Bronx Community District 11--Pelham Parkway, Morris Park & Laconia",65,0,0
"BX33","Longwood","36","005","Bronx","Bronx","2","3710","Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose","Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose",49,0,0
"BX34","Melrose South-Mott Haven North","36","005","Bronx","Bronx","2","3710","Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose","Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose",49,0,0
"BX35","Morrisania-Melrose","36","005","Bronx","Bronx","2","3705","Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont","Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",55,0,0
"BX36","University Heights-Morris Heights","36","005","Bronx","Bronx","2","3707","Bronx Community District 5--Morris Heights, Fordham South & Mount Hope","Bronx Community District 5--Morris Heights, Fordham South & Mount Hope",31,0,0
"BX37","Van Nest-Morris Park-Westchester Square","36","005","Bronx","Bronx","2","3704","Bronx Community District 11--Pelham Parkway, Morris Park & Laconia","Bronx Community District 11--Pelham Parkway, Morris Park & Laconia",65,0,0
"BX39","Mott Haven-Port Morris","36","005","Bronx","Bronx","2","3710","Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose","Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose",49,0,0
"BX40","Fordham South","36","005","Bronx","Bronx","2","3707","Bronx Community District 5--Morris Heights, Fordham South & Mount Hope","Bronx Community District 5--Morris Heights, Fordham South & Mount Hope",31,0,0
"BX41","Mount Hope","36","005","Bronx","Bronx","2","3707","Bronx Community District 5--Morris Heights, Fordham South & Mount Hope","Bronx Community District 5--Morris Heights, Fordham South & Mount Hope",31,0,0
"BX43","Norwood","36","005","Bronx","Bronx","2","3706","Bronx Community District 7--Bedford Park, Fordham North & Norwood","Bronx Community District 7--Bedford Park, Fordham North & Norwood",56,0,0
"BX44","Williamsbridge-Olinville","36","005","Bronx","Bronx","2","3702","Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn","Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn",44,0,0
"BX46","Parkchester","36","005","Bronx","Bronx","2","3709","Bronx Community District 9--Castle Hill, Clason Point & Parkchester","Bronx Community District 9--Castle Hill, Clason Point & Parkchester",124,0,0
"BX49","Pelham Parkway","36","005","Bronx","Bronx","2","3704","Bronx Community District 11--Pelham Parkway, Morris Park & Laconia","Bronx Community District 11--Pelham Parkway, Morris Park & Laconia",65,0,0
"BX52","Schuylerville-Throgs Neck-Edgewater Park","36","005","Bronx","Bronx","2","3703","Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville","Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville",77,0,0
"BX55","Soundview-Bruckner","36","005","Bronx","Bronx","2","3709","Bronx Community District 9--Castle Hill, Clason Point & Parkchester","Bronx Community District 9--Castle Hill, Clason Point & Parkchester",124,0,0
